County,Median_Household_Income,nSales,Population,Sales Per Capita,Volumes,Volume Per Capita,Total Alcohol Sales,Price per Liter,BOURBON,BRANDIES,COCKTAILS,GINS,LIQUEUR,OTHER,RUM,SCHNAPPS,SCOTCH,SPIRITS,TEQUILA,VODKA,WHISKEY
DALLAS,82123,126858,84040,0.504085864,1550380.68,6.160628301,26840291.14,17.31206502,8493,3904,4723,7828,8661,2425,12791,4284,1643,775,5925,35220,30186
MILLS,75550,26875,14499,0.618989277,175835.29,4.049866382,2701901.09,15.36609113,1885,473,767,1566,1703,443,2593,1166,89,98,773,6952,8367
WARREN,74031,120396,47985,0.837875056,807251.96,5.617929844,12485178.67,15.46627235,7208,2787,4458,8349,8403,2726,12339,4959,928,792,3814,34172,29461
SIOUX,66605,69940,32520,0.718203957,557213.91,5.721950744,8354278.07,14.99294601,3667,2456,1944,3580,5017,2112,8362,5350,527,208,3326,14624,18767
PLYMOUTH,66070,78038,24892,1.046933365,578704.41,7.763717104,9050196.79,15.63872097,4237,3728,2185,4125,6076,1815,8366,5372,772,379,3369,17890,19724
BREMER,65733,108809,23238,1.563647209,703918.94,10.11571548,10033980.04,14.25445384,7103,5027,3308,7097,7878,2669,10603,7565,1546,663,3845,23648,27857
MADISON,64776,43799,15615,0.936687897,260184.52,5.564320897,3994501.35,15.35257113,2912,1168,1675,2534,2964,885,4142,1884,544,418,1574,10591,12508
LINN,64625,1128136,216130,1.743087174,8505741.49,13.14225315,133944402.2,15.74752799,61237,76289,32150,79059,77592,20634,100643,56739,13079,6372,51348,313781,239213
POLK,64169,2456528,464477,1.766160663,19470012.82,13.99828162,335859686.8,17.25010096,148899,140755,66261,171674,170711,44938,210000,79430,34219,13632,124305,717911,533793
GRUNDY,64146,26705,12190,0.731579587,136642.44,3.743299751,1750305.77,12.80938609,1219,757,544,1308,1652,379,2903,1505,91,153,445,7739,8010
CEDAR,63672,53605,18287,0.97889371,216298.95,3.949886795,2878942.77,13.31001732,3216,1853,2132,3563,2919,1013,5846,3892,177,272,1267,12927,14528
BENTON,63069,53567,25320,0.706490499,296859.34,3.915251988,4132376.05,13.92031677,2494,2544,2223,2805,3695,869,5346,4386,281,333,1570,12097,14924
LYON,62496,53269,11506,1.546047657,259234.42,7.523865054,3975245.46,15.33455881,2790,2544,1168,1885,4498,1179,6786,3888,246,302,1436,9414,17133
WINNESHIEK,62115,73742,18180,1.35454593,499128.14,9.168343559,7878609.9,15.78474397,4350,3931,2126,5161,5392,2113,7149,5677,980,327,2890,17589,16057
MARION,61098,132062,32058,1.375669625,706588.9,7.360428337,11193680.8,15.84185769,8246,4493,3671,8254,9758,2881,12813,8055,1439,1025,5126,32443,33858
BOONE,60421,97312,25967,1.251461009,662249.58,8.516724838,9878912.26,14.91720427,5480,3727,2623,6342,6356,1812,9670,5313,1246,676,3538,23425,27104
DUBUQUE,59403,393187,92742,1.415778769,2959013.8,10.65474931,47022636.58,15.89132047,21491,21456,10444,28719,26293,9188,37333,21806,3930,2194,15871,106267,88195
SHELBY,59121,36083,11522,1.045797188,268154.45,7.771947174,3975266.46,14.82454033,2408,1355,842,2260,2726,721,3195,2268,307,243,1660,7740,10358
HAMILTON,58920,64934,14870,1.458256398,359275.2,8.068428854,4663248.63,12.97960068,3266,3424,1458,3629,4788,1141,7163,3830,363,324,2403,15052,18093
JOHNSON,58904,674994,138000,1.633403676,5236110.62,12.67075312,90791109.24,17.33941771,46176,36267,16349,55730,44137,13940,60358,25057,11214,3143,34459,193560,134604
DICKINSON,58019,168556,17076,3.296330682,1448211.42,28.32164822,21648159.52,14.94820385,8868,5289,4649,11991,13623,3317,16413,9797,2110,1168,6633,41696,43002
IOWA,57771,88553,16055,1.841898403,567108.27,11.79582642,8100032.84,14.28304482,5582,4037,3625,6829,5208,2101,7802,5632,891,476,2893,22273,21204
MUSCATINE,57583,198230,42037,1.574745474,1093079.48,8.683458425,17122244.69,15.66422662,12669,9608,5827,12362,14835,3718,19649,11790,2021,1092,9904,46240,48515
WASHINGTON,57315,76908,21828,1.176603877,480771.68,7.355253323,7898060.14,16.4278814,5122,3273,1569,5047,6142,2233,7206,4979,820,455,3142,17291,19629
BUCHANAN,57228,81727,20633,1.322744248,520064.14,8.41719199,7487351.34,14.39697677,4881,2764,2275,4327,5932,2091,7646,6178,490,502,3240,19474,21927
HANCOCK,57222,19234,10761,0.59688365,132585.64,4.114495204,1760367.39,13.27721004,822,522,543,825,1186,388,2058,1312,141,85,476,4926,5950
DELAWARE,56747,35503,17115,0.692724984,343369.1,6.699725499,5320403.31,15.49470616,1941,1151,1077,1800,2518,819,3787,2662,358,171,1234,8193,9792
CARROLL,56292,94792,20022,1.581018428,861602.58,14.37051182,12669504.39,14.70458038,5150,3578,2651,6210,7222,2270,10214,5177,817,708,3285,21879,25631
SCOTT,56208,839298,168671,1.661684126,6385667.5,12.64266365,108762918.7,17.0323492,43320,61015,24137,62885,58628,16306,66480,43813,10364,4307,43518,229253,175272
LUCAS,55871,28148,8510,1.104563492,141711.61,5.560944677,2284585.77,16.12137333,2155,846,882,1715,2077,643,2560,1882,284,190,951,6641,7322
STORY,55561,442562,85104,1.73658822,3003341.15,11.78494055,47315145.57,15.75416951,29984,17906,11553,32364,32656,9259,45546,19355,6786,2783,18812,115808,99750
GUTHRIE,55531,21795,10464,0.695555589,114836.12,3.66482703,1670205.12,14.54424897,1170,630,528,1306,1174,400,2068,1140,187,157,642,5594,6799
POTTAWATTAMIE,55442,448314,91213,1.641338905,3297874.73,12.0739707,53977005.22,16.36720908,27756,19462,11813,28534,35869,8121,41031,27434,3805,2685,21036,107511,113257
OSCEOLA,55375,18662,5952,1.047051311,97920.21,5.493917281,1411993.2,14.41983427,1284,666,495,1151,1395,272,1892,1517,102,75,695,3598,5520
HARRISON,55325,52835,13926,1.266974936,191385.06,4.589383441,2659646.54,13.89683469,3011,1330,1942,2990,3641,1191,6323,3803,579,424,1938,10940,14723
JONES,55210,98973,19161,1.724929168,473574.05,8.253581201,6301353.01,13.3059508,6277,4735,3467,5262,8109,2555,10127,8708,510,430,2809,20918,25066
KOSSUTH,55129,83818,14877,1.881458456,647288.41,14.52965059,9699469.49,14.98477238,5173,3490,2421,3953,6849,2681,8360,5000,783,603,2531,18140,23834
MITCHELL,55129,48532,10534,1.538535698,196952.96,6.243698174,2565005.02,13.02343981,2436,2410,710,2611,3926,1003,4848,4060,412,263,1931,10661,13261
BUTLER,54970,21083,14448,0.487301085,122017.12,2.820237867,1599335.79,13.10747041,932,978,350,871,1136,312,2286,1434,72,127,346,5229,7010
SAC,54660,42829,9689,1.476154045,231135.51,7.966369003,3113817.22,13.47182534,2281,1593,917,2286,3092,1071,4841,2697,286,357,1649,9069,12690
WORTH,54628,18054,7438,0.810568956,97324.6,4.369574576,1343838.21,13.80779587,677,904,569,1009,1178,371,2071,1062,136,89,751,4184,5053
HUMBOLDT,54315,31656,9280,1.139149604,262239.37,9.43675368,3704246.56,14.12544028,1374,1297,981,1744,2292,825,3002,2031,316,179,1257,7381,8977
FREMONT,53861,1408,6810,0.069044366,7749.89,0.380032841,155425.88,20.05523691,67,8,8,27,57,3,222,30,,51,28,426,481
JASPER,53829,137710,35069,1.31133846,680472.86,6.479778029,9731646.34,14.30129975,8605,5902,3486,8219,9954,3166,13148,7658,1076,1575,5756,32787,36378
CLAYTON,53809,63031,17262,1.219370791,254491.93,4.923292125,3751952.96,14.74291527,3695,2432,1636,3761,4485,1508,6200,6324,443,380,1721,12162,18284
MARSHALL,53645,148160,38975,1.269455694,1038364.8,8.896855481,16595021.64,15.98188001,8147,7505,5088,9378,10597,2911,13506,7913,993,823,7444,36054,37801
CLAY,53549,97095,16010,2.025248115,631694.86,13.17615556,8516869.77,13.48256937,6274,4711,3006,6556,7964,2254,9777,5457,1123,839,3867,21958,23309
CHEROKEE,53534,47825,11128,1.435193848,290789.61,8.726387025,4295255.98,14.77100912,2772,2070,1298,2970,3419,969,4601,2926,357,339,1929,9820,14355
ADAIR,53416,28404,6915,1.37170279,169912.91,8.20553488,2417699.66,14.22905217,2316,1139,552,1478,1492,512,2740,1474,110,142,1177,6544,8728
IDA,53300,29902,6823,1.463516316,188718.6,9.236597891,2966606.04,15.71973319,1694,1020,600,1779,2451,815,3001,2232,140,168,776,6005,9221
CERRO GORDO,53109,309659,41940,2.465630441,2199427.17,17.5127304,31701861.22,14.41368992,17727,14803,10666,19139,24252,6605,29976,17631,3593,1567,13441,76628,73631
WINNEBAGO,52953,45201,10209,1.478555195,287515.72,9.404833114,4180351.95,14.53955961,2116,1562,752,2189,3950,996,5579,2681,249,298,1371,10657,12801
FRANKLIN,52860,37265,9974,1.247683593,191095.99,6.39815729,2629100.84,13.75801156,1703,1558,1148,2081,3311,590,3499,2468,217,251,1996,7872,10571
POWESHIEK,52408,107963,16936,2.128809509,515624.03,10.1670511,7888441.46,15.29882434,7137,4287,2176,7063,7099,2154,10725,6014,1296,593,4468,24676,30275
BUENA VISTA,52344,127311,19322,2.200323586,655067.39,11.32156867,9867763.88,15.06373853,6642,8368,3811,9308,9736,2597,11827,6254,1280,464,8359,28423,30242
