State_Code,County_Code,People_of_All_Ages_in_Poverty,90%_Lower_All,90%_Upper_All,Percent_of_People_of_All_Ages_in_Poverty,90%_Lower_PCent_All,90%_Upper_PCent_All,People_0-17_in_Poverty,90%_Lower_Child,90%_Upper_Child,Percent_of_People_0-17_in_Poverty,90%_Lower_PCent_Child,90%_Upper_PCent_Child,Related_Children_5-17_in_Families_in_Poverty,90%_Lower_Fam,90%_Upper_Fam,Percent_of_Related_Children_5-17_in_Families_in_Poverty,90%_Lower_PCent_Fam,90%_Upper_PCent_Fam,Median_Household_Income,90%_Lower_Income,90%_Upper_Income,County,State,File_Name,Creation_Date
19,1,740,582,898,10.7,8.4,13,229,175,283,15.4,11.8,19,147,108,186,13.1,9.6,16.6,53416,48467,58365,Adair County,IA,est16-ia.txt,02NOV2017
19,3,452,352,552,12.3,9.6,15,175,132,218,22,16.6,27.4,119,87,151,21.5,15.8,27.2,46939,43427,50451,Adams County,IA,est16-ia.txt,02NOV2017
19,5,1786,1508,2064,13.2,11.1,15.3,593,477,709,19.2,15.5,22.9,398,310,486,18,14,22,49439,45854,53024,Allamakee County,IA,est16-ia.txt,02NOV2017
19,7,2304,1875,2733,18.7,15.2,22.2,719,560,878,26.5,20.6,32.4,482,367,597,24.6,18.7,30.5,39124,35107,43141,Appanoose County,IA,est16-ia.txt,02NOV2017
19,9,616,490,742,11.1,8.8,13.4,196,151,241,17.5,13.5,21.5,127,95,159,15.5,11.6,19.4,49560,44614,54506,Audubon County,IA,est16-ia.txt,02NOV2017
19,11,1975,1593,2357,7.8,6.3,9.3,534,411,657,9,6.9,11.1,348,252,444,7.8,5.6,10,63069,58040,68098,Benton County,IA,est16-ia.txt,02NOV2017
19,13,20556,18229,22883,16.1,14.3,17.9,5167,4246,6088,18.4,15.1,21.7,3269,2588,3950,16.7,13.2,20.2,50887,47848,53926,Black Hawk County,IA,est16-ia.txt,02NOV2017
19,15,2389,1903,2875,9.2,7.3,11.1,659,502,816,12,9.2,14.8,430,320,540,10.6,7.9,13.3,60421,56882,63960,Boone County,IA,est16-ia.txt,02NOV2017
19,17,1557,1228,1886,6.7,5.3,8.1,359,275,443,6.7,5.1,8.3,237,175,299,6,4.4,7.6,65733,61272,70194,Bremer County,IA,est16-ia.txt,02NOV2017
19,19,2084,1661,2507,10.1,8.1,12.1,772,587,957,14.3,10.9,17.7,513,381,645,13.1,9.7,16.5,57228,51752,62704,Buchanan County,IA,est16-ia.txt,02NOV2017
19,21,2338,1861,2815,12.1,9.6,14.6,869,672,1066,17.3,13.4,21.2,566,423,709,16.4,12.3,20.5,52344,48661,56027,Buena Vista County,IA,est16-ia.txt,02NOV2017
19,23,1416,1156,1676,9.8,8,11.6,432,341,523,13,10.2,15.8,292,225,359,11.6,8.9,14.3,54970,50227,59713,Butler County,IA,est16-ia.txt,02NOV2017
19,25,1138,924,1352,12.4,10.1,14.7,340,260,420,16.4,12.5,20.3,237,173,301,16.1,11.7,20.5,50767,45835,55699,Calhoun County,IA,est16-ia.txt,02NOV2017
19,27,1762,1422,2102,8.8,7.1,10.5,532,406,658,11,8.4,13.6,357,266,448,10.3,7.7,12.9,56292,51542,61042,Carroll County,IA,est16-ia.txt,02NOV2017
19,29,1654,1304,2004,12.8,10.1,15.5,554,425,683,18.8,14.4,23.2,360,265,455,16.2,11.9,20.5,47897,43867,51927,Cass County,IA,est16-ia.txt,02NOV2017
19,31,1207,927,1487,6.6,5.1,8.1,372,280,464,9.1,6.8,11.4,247,180,314,8,5.8,10.2,63672,58260,69084,Cedar County,IA,est16-ia.txt,02NOV2017
